id,code,name,country_id/id
__export__.res_state_fr01,FR-ARA,Auvergne-Rhône-Alpes,base.fr
__export__.res_state_fr02,FR-BFC,Bourgogne-Franche-Comté,base.fr
__export__.res_state_fr03,FR-BRE,Bretagne,base.fr
__export__.res_state_fr04,FR-CVL,Centre-Val de Loire,base.fr
__export__.res_state_fr05,FR-COR,Corse,base.fr
__export__.res_state_fr06,FR-GES,Grand Est,base.fr
__export__.res_state_fr19,FR-GP,Guadeloupe ,base.fr
__export__.res_state_fr15,FR-GF,Guyane (française) ,base.fr
__export__.res_state_fr07,FR-HDF,Hauts-de-France,base.fr
__export__.res_state_fr08,FR-IDF,Île-de-France,base.fr
__export__.res_state_fr17,FR-RE,La Réunion ,base.fr
__export__.res_state_fr16,FR-MQ,Martinique ,base.fr
__export__.res_state_fr18,FR-YT,Mayotte,base.fr
__export__.res_state_fr09,FR-NOR,Normandie,base.fr
__export__.res_state_fr14,FR-CAL,Nouvelle Calédonie,base.fr
__export__.res_state_fr10,FR-NAQ,Nouvelle-Aquitaine,base.fr
__export__.res_state_fr11,FR-OCC,Occitanie,base.fr
__export__.res_state_fr12,FR-PDL,Pays de la Loire,base.fr
__export__.res_state_fr13,FR-PAC,Provence-Alpes-Côte d'Azur,base.fr
